"TOTALCRIME","C_MONTH","H_YEAR","WARD"
369,"May","2010",28
206,"May","2010",29
107,"May","2010",30
129,"May","2010",31
124,"May","2010",32
66,"May","2010",33
231,"May","2010",34
112,"May","2010",35
68,"May","2010",36
234,"May","2010",37
68,"May","2010",38
67,"May","2010",39
79,"May","2010",40
78,"May","2010",41
244,"May","2010",42
97,"May","2010",43
115,"May","2010",44
86,"May","2010",45
95,"May","2010",46
76,"May","2010",47
63,"May","2010",48
110,"May","2010",49
79,"May","2010",50
127,"May","2011",1
226,"May","2011",2
205,"May","2011",3
122,"May","2011",4
158,"May","2011",5
236,"May","2011",6
232,"May","2011",7
217,"May","2011",8
186,"May","2011",9
146,"May","2011",10
114,"May","2011",11
83,"May","2011",12
84,"May","2011",13
108,"May","2011",14
228,"May","2011",15
190,"May","2011",16
271,"May","2011",17
148,"May","2011",18
51,"May","2011",19
279,"May","2011",20
237,"May","2011",21
91,"May","2011",22
88,"May","2011",23
270,"May","2011",24
102,"May","2011",25
115,"May","2011",26
247,"May","2011",27
341,"May","2011",28
179,"May","2011",29
89,"May","2011",30
87,"May","2011",31
139,"May","2011",32
80,"May","2011",33
218,"May","2011",34
92,"May","2011",35
77,"May","2011",36
187,"May","2011",37
78,"May","2011",38
63,"May","2011",39
69,"May","2011",40
68,"May","2011",41
249,"May","2011",42
69,"May","2011",43
109,"May","2011",44
65,"May","2011",45
79,"May","2011",46
83,"May","2011",47
63,"May","2011",48
104,"May","2011",49
49,"May","2011",50
107,"May","2012",1
239,"May","2012",2
178,"May","2012",3
114,"May","2012",4
195,"May","2012",5
230,"May","2012",6
206,"May","2012",7
200,"May","2012",8
184,"May","2012",9
129,"May","2012",10
79,"May","2012",11
95,"May","2012",12
80,"May","2012",13
96,"May","2012",14
203,"May","2012",15
207,"May","2012",16
212,"May","2012",17
123,"May","2012",18
59,"May","2012",19
224,"May","2012",20
219,"May","2012",21
71,"May","2012",22
79,"May","2012",23
270,"May","2012",24
97,"May","2012",25
107,"May","2012",26
234,"May","2012",27
348,"May","2012",28
175,"May","2012",29
89,"May","2012",30
111,"May","2012",31
83,"May","2012",32
86,"May","2012",33
195,"May","2012",34
109,"May","2012",35
76,"May","2012",36
173,"May","2012",37
62,"May","2012",38
44,"May","2012",39
67,"May","2012",40
80,"May","2012",41
258,"May","2012",42
75,"May","2012",43
91,"May","2012",44
71,"May","2012",45
90,"May","2012",46
62,"May","2012",47
58,"May","2012",48
93,"May","2012",49
71,"May","2012",50
93,"May","2013",1
235,"May","2013",2
204,"May","2013",3
100,"May","2013",4
171,"May","2013",5
236,"May","2013",6
166,"May","2013",7
156,"May","2013",8
174,"May","2013",9
126,"May","2013",10
79,"May","2013",11
65,"May","2013",12
74,"May","2013",13
98,"May","2013",14
180,"May","2013",15
194,"May","2013",16
228,"May","2013",17
98,"May","2013",18
49,"May","2013",19
174,"May","2013",20
178,"May","2013",21
75,"May","2013",22
68,"May","2013",23
299,"May","2013",24
98,"May","2013",25
94,"May","2013",26
252,"May","2013",27
352,"May","2013",28
160,"May","2013",29
93,"May","2013",30
97,"May","2013",31
91,"May","2013",32
62,"May","2013",33
182,"May","2013",34
76,"May","2013",35
59,"May","2013",36
147,"May","2013",37
66,"May","2013",38
64,"May","2013",39
59,"May","2013",40
70,"May","2013",41
281,"May","2013",42
59,"May","2013",43
86,"May","2013",44
73,"May","2013",45
75,"May","2013",46
59,"May","2013",47
56,"May","2013",48
79,"May","2013",49
61,"May","2013",50
95,"May","2014",1
212,"May","2014",2
162,"May","2014",3
106,"May","2014",4
140,"May","2014",5
159,"May","2014",6
148,"May","2014",7
166,"May","2014",8
163,"May","2014",9
115,"May","2014",10
88,"May","2014",11
77,"May","2014",12
64,"May","2014",13
78,"May","2014",14
138,"May","2014",15
130,"May","2014",16
194,"May","2014",17
95,"May","2014",18
53,"May","2014",19
161,"May","2014",20
168,"May","2014",21
62,"May","2014",22
63,"May","2014",23
247,"May","2014",24
91,"May","2014",25
88,"May","2014",26
187,"May","2014",27
280,"May","2014",28
159,"May","2014",29
73,"May","2014",30
79,"May","2014",31
80,"May","2014",32
49,"May","2014",33
147,"May","2014",34
63,"May","2014",35
55,"May","2014",36
179,"May","2014",37
47,"May","2014",38
46,"May","2014",39
56,"May","2014",40
67,"May","2014",41
213,"May","2014",42
71,"May","2014",43
72,"May","2014",44
61,"May","2014",45
70,"May","2014",46
59,"May","2014",47
47,"May","2014",48
59,"May","2014",49
51,"May","2014",50
