"TOTALCRIME","C_MONTH","H_YEAR","WARD"
272,"November","2010",28
156,"November","2010",29
96,"November","2010",30
96,"November","2010",31
126,"November","2010",32
60,"November","2010",33
172,"November","2010",34
67,"November","2010",35
67,"November","2010",36
152,"November","2010",37
59,"November","2010",38
64,"November","2010",39
67,"November","2010",40
76,"November","2010",41
258,"November","2010",42
66,"November","2010",43
102,"November","2010",44
65,"November","2010",45
77,"November","2010",46
58,"November","2010",47
67,"November","2010",48
109,"November","2010",49
92,"November","2010",50
94,"November","2011",1
217,"November","2011",2
166,"November","2011",3
113,"November","2011",4
152,"November","2011",5
208,"November","2011",6
187,"November","2011",7
181,"November","2011",8
148,"November","2011",9
125,"November","2011",10
96,"November","2011",11
71,"November","2011",12
89,"November","2011",13
96,"November","2011",14
167,"November","2011",15
167,"November","2011",16
227,"November","2011",17
120,"November","2011",18
59,"November","2011",19
224,"November","2011",20
186,"November","2011",21
59,"November","2011",22
76,"November","2011",23
240,"November","2011",24
76,"November","2011",25
99,"November","2011",26
197,"November","2011",27
261,"November","2011",28
202,"November","2011",29
88,"November","2011",30
71,"November","2011",31
105,"November","2011",32
62,"November","2011",33
197,"November","2011",34
82,"November","2011",35
58,"November","2011",36
190,"November","2011",37
65,"November","2011",38
74,"November","2011",39
58,"November","2011",40
67,"November","2011",41
269,"November","2011",42
80,"November","2011",43
89,"November","2011",44
60,"November","2011",45
83,"November","2011",46
56,"November","2011",47
68,"November","2011",48
75,"November","2011",49
80,"November","2011",50
133,"November","2012",1
232,"November","2012",2
190,"November","2012",3
89,"November","2012",4
153,"November","2012",5
212,"November","2012",6
172,"November","2012",7
172,"November","2012",8
153,"November","2012",9
82,"November","2012",10
86,"November","2012",11
82,"November","2012",12
76,"November","2012",13
75,"November","2012",14
161,"November","2012",15
177,"November","2012",16
188,"November","2012",17
89,"November","2012",18
49,"November","2012",19
186,"November","2012",20
189,"November","2012",21
73,"November","2012",22
68,"November","2012",23
238,"November","2012",24
86,"November","2012",25
119,"November","2012",26
179,"November","2012",27
277,"November","2012",28
138,"November","2012",29
96,"November","2012",30
87,"November","2012",31
108,"November","2012",32
71,"November","2012",33
168,"November","2012",34
76,"November","2012",35
49,"November","2012",36
156,"November","2012",37
59,"November","2012",38
71,"November","2012",39
62,"November","2012",40
67,"November","2012",41
255,"November","2012",42
74,"November","2012",43
85,"November","2012",44
65,"November","2012",45
76,"November","2012",46
58,"November","2012",47
49,"November","2012",48
83,"November","2012",49
57,"November","2012",50
108,"November","2013",1
206,"November","2013",2
145,"November","2013",3
64,"November","2013",4
126,"November","2013",5
171,"November","2013",6
149,"November","2013",7
140,"November","2013",8
120,"November","2013",9
81,"November","2013",10
74,"November","2013",11
63,"November","2013",12
66,"November","2013",13
59,"November","2013",14
141,"November","2013",15
135,"November","2013",16
179,"November","2013",17
93,"November","2013",18
41,"November","2013",19
155,"November","2013",20
185,"November","2013",21
43,"November","2013",22
61,"November","2013",23
243,"November","2013",24
71,"November","2013",25
73,"November","2013",26
179,"November","2013",27
307,"November","2013",28
138,"November","2013",29
65,"November","2013",30
76,"November","2013",31
80,"November","2013",32
50,"November","2013",33
142,"November","2013",34
68,"November","2013",35
44,"November","2013",36
162,"November","2013",37
49,"November","2013",38
48,"November","2013",39
55,"November","2013",40
57,"November","2013",41
279,"November","2013",42
83,"November","2013",43
97,"November","2013",44
59,"November","2013",45
84,"November","2013",46
44,"November","2013",47
49,"November","2013",48
88,"November","2013",49
51,"November","2013",50
75,"November","2014",1
171,"November","2014",2
121,"November","2014",3
62,"November","2014",4
100,"November","2014",5
127,"November","2014",6
128,"November","2014",7
138,"November","2014",8
120,"November","2014",9
77,"November","2014",10
65,"November","2014",11
56,"November","2014",12
73,"November","2014",13
75,"November","2014",14
119,"November","2014",15
108,"November","2014",16
151,"November","2014",17
81,"November","2014",18
39,"November","2014",19
167,"November","2014",20
141,"November","2014",21
48,"November","2014",22
53,"November","2014",23
223,"November","2014",24
68,"November","2014",25
69,"November","2014",26
143,"November","2014",27
238,"November","2014",28
131,"November","2014",29
72,"November","2014",30
65,"November","2014",31
67,"November","2014",32
38,"November","2014",33
104,"November","2014",34
48,"November","2014",35
54,"November","2014",36
136,"November","2014",37
58,"November","2014",38
37,"November","2014",39
45,"November","2014",40
47,"November","2014",41
198,"November","2014",42
60,"November","2014",43
63,"November","2014",44
49,"November","2014",45
57,"November","2014",46
49,"November","2014",47
32,"November","2014",48
46,"November","2014",49
41,"November","2014",50
