"WARD","NOOFOFFENSE_INVOLVING_CHILDREN"
1,47
2,128
3,157
4,116
5,182
6,226
7,203
8,192
9,219
10,171
11,74
12,82
13,93
14,100
15,198
16,167
17,223
18,118
19,129
20,200
21,200
22,79
23,75
24,161
25,67
26,119
27,137
28,182
29,168
30,88
31,99
32,26
33,86
34,201
35,95
36,52
37,170
38,63
39,51
40,41
41,44
42,39
43,27
44,12
45,86
46,56
47,46
48,55
49,68
50,55
